# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_calc, iflag=1588 (SEFLG_MOSEPH|SEFLG_J2000|SEFLG_TRUEPOS|SEFLG_NOABERR|SEFLG_NOGDEFL).
# Fictitious (hypothetical) bodies, SE numbers 40..=58 (SE_FICT_OFFSET_1 + 1..=19). Elements read from the committed data/seorbel.txt (SE's built-in fallback only covers 40-54; 55-58 require this file). Geocentric J2000-ecliptic lon/lat (degrees) and distance (AU), GEOMETRIC (no light-time, no aberration, no gravitational deflection) — matches FictitiousBackend::position's geocentric-J2000 boundary. Times are TT (Terrestrial Time) Julian days, evenly sampled per body across the 1900-2100 CE window (JD 2415020.5..=2488069.5).
label,se_body,jd_tt,lon_deg,lat_deg,dist_au
Admetos,45,2457842.327586207,58.943023744,0.011671873,74.267354418
Admetos,45,2460361.258620690,62.697706713,0.012166841,73.596288809
Admetos,45,2462880.189655173,66.845976409,0.012607697,72.941115355
Admetos,45,2465399.120689655,71.285946777,0.012926099,72.643642557
Admetos,45,2467918.051724138,75.748709436,0.013058020,72.859705224
Admetos,45,2470436.982758621,79.957769543,0.013029141,73.468126683
Admetos,45,2472955.913793103,83.785706592,0.012909222,74.155481496
Admetos,45,2475474.844827586,87.296749076,0.012777415,74.590795887
Admetos,45,2477993.775862069,90.691908382,0.012709251,74.573140345
Admetos,45,2480512.706896552,94.219370294,0.012702850,74.108083811
Admetos,45,2483031.637931034,98.077725067,0.012728186,73.409643938
Admetos,45,2485550.568965517,102.319131363,0.012684797,72.821747893
Admetos,45,2488069.500000000,106.794530653,0.012483725,72.652778994
Vulkanus,46,2415020.500000000,56.782041467,0.011500046,76.554503049
Vulkanus,46,2417539.431034483,60.924530351,0.011926128,76.269372649
Vulkanus,46,2420058.362068966,65.082816840,0.012286996,76.490004917
Vulkanus,46,2422577.293103448,69.001838333,0.012545361,77.093970719
Vulkanus,46,2425096.224137931,72.564053176,0.012723109,77.776092084
Vulkanus,46,2427615.155172414,75.827025975,0.012834075,78.213671373
Vulkanus,46,2430134.086206897,78.976244537,0.012927513,78.206023205
Vulkanus,46,2432653.017241379,82.244836856,0.013012306,77.752186643
Vulkanus,46,2435171.948275862,85.822993539,0.013080288,77.058520323
Vulkanus,46,2437690.879310345,89.764490321,0.013101497,76.464107876
Vulkanus,46,2440209.810344827,93.933719913,0.013023751,76.277189932
Vulkanus,46,2442728.741379310,98.063189426,0.012840258,76.596312188
Vulkanus,46,2445247.672413793,101.911129908,0.012545802,77.250371188
Vulkanus,46,2447766.603448276,105.395508655,0.012201861,77.907559637
Vulkanus,46,2450285.534482758,108.612492997,0.011843783,78.256182507
Vulkanus,46,2452804.465517242,111.769501796,0.011499668,78.139875655
Vulkanus,46,2455323.396551724,115.095544749,0.011171559,77.611547091
Vulkanus,46,2457842.327586207,118.752873673,0.010825613,76.913682590
Vulkanus,46,2460361.258620690,122.756437446,0.010431492,76.385411208
Vulkanus,46,2462880.189655173,126.940127070,0.009928338,76.301383997
Vulkanus,46,2465399.120689655,131.029728532,0.009316962,76.710718999
Vulkanus,46,2467918.051724138,134.803113329,0.008609981,77.398994160
Vulkanus,46,2470436.982758621,138.214564478,0.007860851,78.016259528
Vulkanus,46,2472955.913793103,141.395699557,0.007108719,78.268509686
Vulkanus,46,2475474.844827586,144.571650353,0.006374011,78.046222613
Vulkanus,46,2477993.775862069,147.963296276,0.005679556,77.455208202
Vulkanus,46,2480512.706896552,151.700934822,0.005001348,76.769411423
Vulkanus,46,2483031.637931034,155.759029328,0.004326895,76.320371157
Vulkanus,46,2485550.568965517,159.944434537,0.003614391,76.341799219
Vulkanus,46,2488069.500000000,163.983885811,0.002846942,76.831443603
Poseidon,47,2415020.500000000,167.528548723,0.001725501,83.263969038
Poseidon,47,2417539.431034483,170.801199946,0.000990872,83.964596523
Poseidon,47,2420058.362068966,173.756021954,0.000321659,84.518386969
Poseidon,47,2422577.293103448,176.541466015,-0.000330451,84.664237282
